trip_id,trip_datetime,time_of_day,distance_km,duration_minutes,surge_multiplier,fare_kes,fuel_cost_kes,driver_payout_kes,platform_cost_kes,total_cost_kes,profit_kes,profit_margin_pct,profit_per_km,profit_per_minute,day_of_week,hour
1,2025-03-23 03:01:00,Off-Peak,1.89,6.97,1.07,237.43,26.14,170.95,57.59,254.68,-17.25,-7.27,-9.13,-2.47,Sunday,3
2,2025-04-05 08:15:00,Peak,2.69,9.83,1.77,488.45,32.33,361.45,59.79,453.57,34.88,7.14,12.97,3.55,Saturday,8
3,2025-01-29 04:47:00,Off-Peak,12.76,32.61,1.15,944.41,180.17,764.97,22.0,967.14,-22.73,-2.41,-1.78,-0.7,Wednesday,4
4,2025-01-14 21:47:00,Off-Peak,6.19,13.38,1.12,493.46,89.32,379.96,53.22,522.5,-29.04,-5.88,-4.69,-2.17,Tuesday,21
5,2025-04-25 17:05:00,Peak,10.54,30.1,1.29,900.16,172.86,729.13,39.21,941.2,-41.04,-4.56,-3.89,-1.36,Friday,17
6,2025-03-17 13:02:00,Off-Peak,10.61,18.4,1.03,651.56,182.07,495.19,44.84,722.1,-70.54,-10.83,-6.65,-3.83,Monday,13
7,2025-01-04 02:13:00,Off-Peak,5.61,8.63,1.01,433.28,99.75,316.29,40.24,456.28,-23.0,-5.31,-4.1,-2.67,Saturday,2
8,2025-01-30 16:38:00,Off-Peak,9.2,17.6,1.17,754.82,129.81,588.76,56.98,775.55,-20.73,-2.75,-2.25,-1.18,Thursday,16
9,2025-01-04 17:12:00,Peak,5.36,21.99,1.56,832.48,95.09,632.68,39.14,766.91,65.57,7.88,12.23,2.98,Saturday,17
10,2025-04-02 20:44:00,Peak,4.68,14.38,1.62,643.51,78.62,495.5,26.72,600.84,42.67,6.63,9.12,2.97,Wednesday,20
11,2025-03-11 13:14:00,Off-Peak,3.91,11.28,1.0,386.23,47.66,312.85,51.19,411.7,-25.47,-6.59,-6.51,-2.26,Tuesday,13
12,2025-02-27 18:17:00,Peak,8.79,28.49,1.78,1129.21,136.86,869.49,40.55,1046.9,82.31,7.29,9.36,2.89,Thursday,18
13,2025-04-14 00:48:00,Off-Peak,14.18,27.69,1.17,1044.81,201.21,835.85,24.68,1061.74,-16.93,-1.62,-1.19,-0.61,Monday,0
14,2025-04-14 05:44:00,Off-Peak,13.16,29.45,1.04,860.32,160.55,628.03,38.46,827.04,33.28,3.87,2.53,1.13,Monday,5
15,2025-02-24 10:17:00,Off-Peak,2.38,7.09,1.04,254.13,36.15,195.68,47.5,279.33,-25.2,-9.92,-10.59,-3.55,Monday,10
16,2025-01-20 06:48:00,Peak,14.02,36.17,1.31,1163.73,217.45,907.71,31.83,1156.99,6.74,0.58,0.48,0.19,Monday,6
17,2025-02-13 03:05:00,Off-Peak,3.26,6.87,1.06,387.69,44.04,283.01,56.48,383.53,4.16,1.07,1.28,0.61,Thursday,3
18,2025-02-18 03:22:00,Off-Peak,7.15,10.49,1.1,603.39,126.13,452.54,54.0,632.67,-29.28,-4.85,-4.1,-2.79,Tuesday,3
19,2025-04-19 11:38:00,Off-Peak,7.99,14.38,1.09,551.9,125.12,436.0,42.72,603.84,-51.94,-9.41,-6.5,-3.61,Saturday,11
20,2025-02-03 01:46:00,Off-Peak,1.9,8.77,1.06,275.02,24.81,203.51,22.17,250.49,24.53,8.92,12.91,2.8,Monday,1
21,2025-02-28 17:07:00,Peak,5.76,19.11,1.57,704.88,94.06,514.56,43.33,651.95,52.93,7.51,9.19,2.77,Friday,17
22,2025-04-29 12:05:00,Off-Peak,14.55,23.39,1.03,966.09,218.1,724.57,36.62,979.29,-13.2,-1.37,-0.91,-0.56,Tuesday,12
23,2025-03-12 09:53:00,Peak,0.8,7.37,1.38,208.48,11.87,168.87,48.96,229.7,-21.22,-10.18,-26.52,-2.88,Wednesday,9
24,2025-03-22 19:56:00,Peak,24.1,69.41,1.42,2150.16,409.94,1720.13,30.68,2160.75,-10.59,-0.49,-0.44,-0.15,Saturday,19
25,2025-04-21 11:36:00,Off-Peak,1.1,5.0,1.09,210.56,14.11,168.45,44.23,226.79,-16.23,-7.71,-14.75,-3.25,Monday,11
26,2025-01-25 22:04:00,Off-Peak,7.86,18.79,1.16,562.47,117.51,421.85,42.18,581.54,-19.07,-3.39,-2.43,-1.01,Saturday,22
27,2025-01-06 21:14:00,Off-Peak,1.98,7.56,1.04,325.78,33.03,237.82,41.07,311.92,13.86,4.25,7.0,1.83,Monday,21
28,2025-04-09 09:05:00,Peak,8.67,24.86,1.51,851.24,138.37,612.89,24.64,775.9,75.34,8.85,8.69,3.03,Wednesday,9
29,2025-04-20 07:55:00,Peak,12.81,41.59,1.56,1305.18,154.1,1018.04,39.6,1211.74,93.44,7.16,7.29,2.25,Sunday,7
30,2025-01-13 12:17:00,Off-Peak,10.75,26.37,1.01,666.59,179.74,526.61,42.02,748.37,-81.78,-12.27,-7.61,-3.1,Monday,12
31,2025-02-28 20:53:00,Peak,11.84,30.86,1.56,1263.0,209.21,959.88,57.11,1226.2,36.8,2.91,3.11,1.19,Friday,20
32,2025-02-16 05:23:00,Off-Peak,5.38,12.69,1.03,400.86,87.32,308.66,38.43,434.41,-33.55,-8.37,-6.24,-2.64,Sunday,5
33,2025-02-15 06:42:00,Peak,2.09,6.89,1.24,253.08,36.07,189.81,45.59,271.47,-18.39,-7.27,-8.8,-2.67,Saturday,6
34,2025-02-04 22:59:00,Off-Peak,14.49,31.95,1.19,1095.34,205.18,832.46,42.77,1080.41,14.93,1.36,1.03,0.47,Tuesday,22
35,2025-03-29 20:04:00,Peak,20.88,57.62,1.78,2252.0,294.41,1779.08,27.81,2101.3,150.7,6.69,7.22,2.62,Saturday,20
